,Record Audio Name,Content,Pronun,Fluency,feature_vector
50,audio_5f80fefc-03a4-4565-8e17-f59da18810e1,39,23,36,
51,audio_1ee6e6e0-5d8d-4f1f-aff5-65b7a3443af3,90,80,81,
52,audio_3c9fa0aa-2405-4dd3-ae26-19725741bd09,82,62,81,
53,audio_dfc864e6-ac13-4a1e-8d0e-1c66796c2798,90,79,80,
54,audio_89e93163-26c1-47f9-ad03-441d687d28fc,90,78,80,
55,audio_edec1c98-1b4c-4eae-b2a8-305df2b31309,90,76,80,
56,audio_aa0e4cd0-800f-4b6c-9e6b-d4245cd8443e,90,80,81,
57,audio_5af74575-060a-4301-a3d8-19bd46816d2e,30,17,32,
58,audio_9fa7dfd6-e80b-49d4-9d9e-cebf9d0fc4f8,50,31,40,
59,audio_575fdab1-c679-453f-a064-e9562b8372f6,55,35,57,
61,audio_234773e5-2271-4e14-b33e-210d2a204814,71,53,66,
62,audio_8087dc27-0a31-454f-b207-b102cc4ff6fc,79,67,73,
63,audio_20e331ec-95a6-4367-955e-f732b7d101de,79,66,73,
64,audio_294388ad-e5d2-4303-a8d4-79b38f903617,86,80,80,
65,audio_6721de03-4a9a-4f13-878d-0d6187b3f32a,79,64,73,
66,audio_2aafac79-8e17-458b-82af-6ef9485a4a01,49,27,38,
67,audio_a9d43d92-386f-4027-8cfe-418e17bbb35b,90,78,81,
68,audio_47ba48cb-ee39-42b3-b377-f0c8875f7e17,55,43,33,
69,audio_2fe61650-d8ec-4ac6-bd4e-5415c588698a,90,81,81,
71,audio_d2dbe841-7228-4365-92ac-d5880b1bde5b,39,19,31,
72,audio_1805565c-c5ca-4cb5-87c5-c2f8bdb89bc9,56,34,48,
73,audio_0edef3c9-b768-4630-ae0b-08cf598f1202,90,75,80,
74,audio_e1967d07-98ce-4264-9a70-d9d30827c896,86,69,77,
75,audio_8ec442c4-0ae5-496e-b1d2-78c3928ff6fb,39,18,34,
76,audio_4339398f-3579-461a-9ff4-e13479bd052b,48,21,44,
77,audio_21bfe4a4-83c0-42ca-850e-f2aeb6ea5e7c,82,50,81,
78,audio_c00d705f-c72b-4c3b-b17c-735e1bf1ebd5,78,64,70,
79,audio_63e0eb96-0a0a-4aee-ad73-b1dfca3f5d22,78,65,70,
80,audio_1382a336-f749-42a4-a118-7c0f824168a7,78,64,70,
82,audio_e9f1a187-33be-41f2-8998-104785c7f157,28,15,30,
83,audio_7d03cdc7-3532-4037-af13-a1eb6d9eObc9,28,14,30,
84,audio_3dfc4f13-b0cd-4070-92c4-b369eef6f989,90,80,81,
85,audio_dd69d478-cOef-4a67-91dO-OOcf3acf8290,30,13,26,
86,audio_6f162707-b2a9-4de6-a5ef-d374ddOc9dc3,75,60,63,
87,audio_ffOc4829-52a7-429b-8a2d-3d76e68d2d50,60,44,63,
88,audio_1dcOd780-3281-46b1-a2d5-c101905439e8,31,18,40,
89,audio_2656ed69-d224-4309-9c6c-7f3d79022185,60,36,56,
90,audio_36e57a5d-c1c2-43b5-aOc2-cf6c8c9786ac,10,10,23,
91,audio_97424125-bf39-4ed5-9749-2bbeb01725c2,21,10,35,
92,audio_fc49c5b8-0d30-4f5a-9cae-4ed06e68149d,35,21,40,
93,audio_f7c4471e-2910-4dc2-ba5a-7b425f220f95,36,22,46,
94,audio_e77aaa31-88e0-4678-9d95-5f560ca3b672,75,61,65,
95,audio_e5021a34-141c-407d-891a-b137bab4c6a5,50,34,49,
96,audio_b7fbbe97-2a32-4cde-9cb7-72e53478f068,82,72,76,
97,audio_af70b6ad-b311-4797-bb79-635785f13cf0,43,26,51,
98,audio_af5ea7f3-ca32-4cbe-ba69-67e39c75b418,24,14,26,
99,audio_81667da5-66c4-4267-a8ed-1a117c4700ad,56,41,57,
100,audio_7987ee3e-4a51-433d-b460-a6a1d994239f,10,10,10,
101,audio_62ceeb02-8b27-47f2-8ae3-ed3f0a2d02b1,22,14,29,
102,audio_55561999-7a53-49ac-abee-17002be412b9,43,29,43,
103,audio_3cab51c4-b75e-4878-aa91-58692b8f8a84,60,41,63,
104,audio_37b00798-0317-4557-a1b5-f11253d6e09f,10,10,14,
105,audio_3770eed3-b6de-42d0-8c27-70b18af05f0d,50,30,54,
106,audio_30161425-b351-41ba-9b12-60e807a4baee,81,68,85,
107,audio_31ed4eea-ad09-4538-932e-c91ca15230ea,68,52,63,
108,audio_26d62e69-ac57-4ed1-b004-21edf537d37c,66,47,53,
109,audio_23a09f59-d336-46dc-b77a-000088014e07,56,33,53,
110,audio_09fa63c1-6d09-45be-9acb-5e377ec5d5c8,10,10,18,
111,audio_09fb6869-c5c5-479f-b09d-2f768f1ded55,77,57,69,
113,audio_7a467a4f-9c8f-41fe-b494-1ccbc8a575d1,32,19,37,
114,audio_9946ba2b-c18d-4b0f-ba29-ca9365e371f5,82,68,78,
115,audio_c8c580c8-23a0-4c83-8fde-063d4b09453c,30,18,43,
116,audio_2b053f79-00dc-4774-9d5d-0bf213a936af,62,42,64,
117,audio_c10c4b5c-4f55-455f-8994-ea3cf0dbc155,84,71,70,
118,audio_65a74968-bcfe-40ce-a157-9cc407769845,14,10,20,
119,audio_d3b33658-1768-416a-a03e-0b8e7f4dfc93,52,28,61,
120,audio_f5788d07-481a-43cb-ad5c-79e6b71ac172,86,73,74,
121,audio_444853ff-c78d-4413-b9d3-d411b918db08,22,14,34,
122,audio_abdb7c9a-76aa-444e-a7b6-b8b209128b87,42,26,39,
123,audio_6336c9e0-8e3e-49a0-bb2c-07909a2ba543,14,10,21,
124,audio_6721bcf3-3347-48a9-8b8f-02d97dcbe848,46,31,48,
125,audio_cf3968e2-8c79-4946-9787-1027c15a4b68,28,15,21,
126,audio_46191f93-cb52-41ef-898b-35e6c1906ecc,64,49,64,
127,audio_59162510-9a04-4129-8f2b-5215f53995d9,22,10,49,
128,audio_259e2a37-a85d-49b6-8dac-6922946fc05a,42,28,53,
129,audio_5dbb4528-0430-4ff4-8ed4-af63fdd6af47,60,43,64,
130,audio_2cb981e4-bfe8-4fb8-b12e-85c6793edb80,68,50,61,
131,audio_2283092f-fca0-45b3-88a7-4dc28f350ad5,44,30,45,
132,audio_8ee37005-41ac-4578-8276-5fc45a364152,14,10,15,
134,audio_7fdb6b4a-fda2-41ca-ac04-a9051b2a34d9,75,50,67,
135,audio_7e6e38f4-3511-467a-aff1-66d4859897ad,84,76,81,
136,audio_672557ce-60d6-4bcb-b401-01fc7d0d3621,68,44,60,
137,audio_1b770b22-381b-4099-9272-8b47bb295e02,59,37,49,
138,audio_8e6d3f79-7d20-44c1-9ef7-035097b36cdd,68,48,61,
139,audio_b46ae235-ebf4-4270-944d-360db4e99862,70,53,64,
140,audio_47601484-f901-43e1-b716-cd689e214c26,61,38,52,
141,audio_b16d767a-3ccf-4c72-ae75-dead661c56ba,48,30,48,
142,audio_ad984200-a85b-456a-8b63-9f1b5bc99c39,77,61,72,
143,audio_915489e8-0661-4f19-ab11-764f10adacae,77,60,72,
144,audio_ffe62b57-378c-4c02-87d1-5cd987b57097,61,43,56,
145,audio_8eb32fc0-daca-44fe-a917-7420ba1e050f,90,76,80,
146,audio_3629e6ef-032a-41db-977f-5a5782c7ad85,81,69,67,
147,audio_f2f8fbcd-d670-481b-9841-3075ae7d2ba6,29,15,30,
148,audio_f66d5be7-d715-43ce-8904-eec1ada4fc6a,90,73,80,
149,audio_ac1eb538-9601-423f-ad6c-db484947b748,50,31,48,
150,audio_a01c4078-576e-4765-b494-c50c1333b2a0,59,39,56,
151,audio_4e8e5042-10fb-4e3c-839b-b5bf7630b6b8,68,47,64,
152,audio_b928bde9-4c81-43a6-9408-38ad5c63013b,72,58,63,
153,audio_df37ff60-28b7-4a8c-869f-1e7290c82d3e,41,23,40,
155,audio_fb2547ba-e2e7-4762-bd5b-7a2f805d7936,35,11,44,
156,audio_084b88f6-013f-4796-a391-325958588e93,39,28,39,
157,audio_d75c5ac9-836e-4ddf-a3ac-897fac1d0ec3,51,28,51,
158,audio_2343e913-078c-483b-9d44-ad6b0bcdc64f,77,60,73,
159,audio_5063330c-7ab4-4fb6-bfa7-bc9709cf0434,55,26,40,
160,audio_7c23eb73-6599-4e94-9d42-eba92525abaf,10,10,18,
161,audio_74d9206d-4d0d-47af-9b9e-dc07e6976955,30,17,36,
162,audio_77108dd5-1aa2-40e2-af80-8ace54e12796,80,80,80,
163,audio_0c81f467-490c-472a-ae43-bd03a73eab7d,90,79,80,
164,audio_030c1a98-f560-4c4e-be54-66543ba54718,81,68,73,
165,audio_5cb0c69d-ee6c-4ab0-9a8b-8ec529c45d62,61,40,58,
166,audio_431e447d-439d-459c-bdb0-2c126e3febdc,30,15,32,
167,audio_2936a86d-2ef7-4114-bafa-254267c0a781,10,10,10,
168,audio_1187bb15-c2d5-44c1-8b44-5027460f3e8d,59,40,58,
169,audio_7a3e1f61-c15a-49ba-95ed-616d988e19a3,63,30,46,
170,audio_ad938c8e-6dab-4e4e-8745-d9e694bd5286,45,10,43,
171,audio_f308b4d6-b2c2-4159-8586-190c7a3771fd,82,59,75,
172,audio_dca6e1f2-feef-4eaa-bd3b-33634b85c304,63,43,58,
173,audio_c3951a47-5fde-4f58-a6d0-a62ca596b026,71,44,66,
174,audio_d3deee93-e992-4390-8462-3441e7492c22,22,10,21,
175,audio_e1431498-2bcb-49b2-92c6-21ca80dad245,90,76,77,
176,audio_cf890acb-8239-4d98-9179-3e614dc73d8f,37,13,39,
177,audio_c05e0de2-679b-4f92-9538-e39b5d8e2273,64,44,81,
178,audio_ada7ffc4-61a0-4211-a704-7c5ccf23269a,31,13,26,
179,audio_7f10bded-7478-48dc-b57a-89a82e5d61a4,63,41,43,
180,audio_a03bd52e-e03e-4771-9ec7-6ee11a5d8f6a,53,33,37,
181,audio_89b18a35-611f-4154-ac27-5f85f2fa44bd,10,10,10,
182,audio_a786dc05-6f72-4a78-9c67-aa23f1e1563f,41,19,38,
183,audio_b8ba6c1c-d010-4c74-9b35-401321b53438,77,60,73,
184,audio_7582d8bf-b98b-4ec1-9ce1-6d2c182b0d48,90,80,80,
186,audio_af4a524d-1d9d-4403-9079-2f4debb36f36,90,79,81,
187,audio_277eb9ff-9f9d-43df-9177-8265ecdc79f8,80,66,72,
188,audio_b7c356cf-a15e-4fa8-809a-ad0b1a388150,70,55,62,
189,audio_54417277-19eb-4fa8-bf8e-0453355e1c70,80,68,64,
190,audio_4d04eff2-953b-4cc2-8e56-f94056a6ff5d,86,70,73,
191,audio_5264d01c-0228-455d-983c-b4ac0d18280d,90,79,80,
192,audio_c5053e82-471a-4aad-885d-2b9361419600,80,66,71,
193,audio_ef7e9723-70c1-40bc-a425-ea0b5760f57e,70,57,62,
194,audio_670e2bc1-15a3-4144-b99e-64b651df5871,90,77,66,
195,audio_5ff0fb31-02bd-4ca2-883a-a1c9d83a4a1a,76,52,62,
196,audio_d0ad43f6-3c9f-425d-9bf7-5e99f0c80662,60,43,49,
197,audio_0e2aa46c-3241-46e7-b493-8a5f7d05065f,90,79,76,
198,audio_9522f342-e4ba-4d06-a311-698443065299,46,23,35,
199,audio_81a66be8-3cfb-4472-95ce-23ab6be21efa,80,68,71,
200,audio_55213396-77d4-413d-9ae2-1a377e335821,68,50,62,
201,audio_439c3b28-6189-4a94-a938-8195a44b4e32,54,29,50,
202,audio_8a845b48-790c-47aa-813d-4df598b34025,90,80,81,
203,audio_95f76f95-42c6-4401-a134-c1fdf9d0597a,90,80,81,
204,audio_e6c0ca41-4d33-4881-a8b9-08b7a2f09090,64,45,51,
205,audio_18e3e856-9afa-42e1-bf61-0f4969336440,40,20,41,
206,audio_bc9b4691-806b-466d-a341-905b5fa0b7b5,80,63,72,
207,audio_906c1d4a-8ee4-4d24-bae7-a3d57478fcc2,80,63,72,
208,audio_d7e9f391-7d77-444d-ba40-822053312496,80,67,65,
209,audio_314a4bea-17c1-4a11-bae7-b4c6d0573a81,80,48,72,
210,audio_188dcd16-c2ed-4111-81d4-1d54c2b1ad83,90,79,81,
211,audio_abe37bde-b5dd-428e-8ee6-28719210c95c,80,66,72,
212,audio_6ec174fa-b90b-4777-b997-a2a04b015d32,86,71,81,
213,audio_117d671d-60d1-4da6-9f8e-0f2ca5f85909,86,71,79,
214,audio_fae7e338-77b3-4b17-b535-cf83a42bb646,80,65,72,
215,audio_ef638f90-da95-4ab5-8aba-f31332155d17,80,65,72,
217,audio_2aa27189-bc57-48b3-b3e4-b46ebb22d3cb,74,57,67,
218,audio_2d9e5384-d8b8-40f1-9284-9944af24ee25,72,53,65,
219,audio_26a66aa8-0aff-44e8-b0b4-339d05039dcc,67,51,58,
220,audio_750990de-288d-4165-a874-5235345a055c,79,61,79,
221,audio_9018c9a8-2a75-485f-ac28-a90f5d482732,49,32,41,
222,audio_89e81e5d-5706-44c8-9057-04ccb64ef070,67,44,58,
223,audio_71271b33-835f-425d-91de-33fbba2000d9,54,35,53,
224,audio_4fd796a5-7740-4de0-9082-5ad18e075ac4,17,10,24,
225,audio_0bdd577c-b737-4822-9cbd-4f754eb24cbf,31,18,37,
226,audio_93b5d1ac-cab1-4ba1-b7fd-1b8e6d923d52,54,38,56,
227,audio_4d3a3148-eb36-474d-bc1c-7688bb26347a,76,60,64,
228,audio_6426d28e-815e-4db0-88ba-3b2cdc296895,76,59,66,
229,audio_04f9e638-3714-4494-be6f-327c18895327,65,47,58,
230,audio_7571864f-b947-4bfb-b951-d53d47df8395,73,56,73,
231,audio_377f405f-508d-4b84-871c-6779f33ea136,61,37,34,
232,audio_c2527dd7-896d-42b8-805e-b60a6af0b7b5,63,41,44,
233,audio_eec3e23b-cab7-4e47-8988-bdfd3580a99a,76,59,61,
234,audio_cdf3a475-6f20-40e3-92b2-e07365fca170,64,31,58,
235,audio_aee2ab6b-962c-4052-b173-2e1d98b07d7b,56,38,55,
236,audio_35e941f2-4bf9-4d36-8619-1c318b888ca6,52,33,48,
237,audio_96419edf-62bd-449d-9570-e0282be4f4a0,74,55,59,
238,audio_efaf4e53-2807-47a3-9969-58985bd4403d,70,51,65,
239,audio_146b3643-50f1-4410-84f0-93d7ed78afc9,49,28,42,
240,audio_1774f992-2ab8-4ef7-a7ea-7698d91a9215,72,39,65,
241,audio_746f3b6e-6d80-4d0f-8eda-b8abf43917b0,60,39,50,
242,audio_4c56f07c-0abc-4bc5-b907-a95a27162208,72,55,63,
243,audio_d4c50438-383f-4dd8-81db-f3a5e2013997,46,24,50,
244,audio_d47266c8-2d94-4cea-adcc-6b310cb9cca3,36,23,42,
245,audio_340e193e-6dec-40f9-a446-0df58ea32acb,58,36,52,
246,audio_f2bf5964-f3ae-41aa-86e9-d4fd5e95dd3d,51,28,47,
248,audio_bbded343-621a-4d9b-a547-e0115e435c16,67,52,60,
249,audio_3928a2f7-660e-45e9-ba54-a91a59d2e3e0,71,55,66,
250,audio_1b679da0-1e9d-47c4-9e63-1d814a634754,75,59,67,
251,audio_4507ebca-7187-45af-8475-482e6fc47177,75,61,67,
252,audio_f7f5de5a-b3ef-44b1-af29-e97aa20ef7a7,75,57,67,
253,audio_2848efb0-c25d-4dae-a9e8-f4bc165630ed,58,37,53,
254,audio_95ec6af3-7699-435b-866a-108dda047c5e,71,53,65,
255,audio_bc458c64-d406-40b7-8955-9b6096664243,65,45,58,
256,audio_d4942caa-edb1-409c-9fb8-56ea33f5c487,42,24,41,
257,audio_46ab2146-8430-4989-bc6a-299ec03d9951,61,41,66,
258,audio_45bf7391-9cac-4d0c-81e9-824b25ce913a,78,64,73,
259,audio_8eb90795-2282-4855-b4e2-76711e989b5e,69,46,56,
260,audio_c5a8adac-86cd-4c80-a9de-2e46b6523c33,88,80,78,
261,audio_f17f3488-a1b2-4395-ae34-87fcd856d332,82,68,72,
262,audio_5d1b7e79-e90e-4e86-8b19-7b43009fbed2,84,66,79,
263,audio_ea27db03-741f-46c5-8dda-31e5924b3237,76,61,74,
264,audio_0d4979ae-5c9f-49ab-b2df-119c9116d37f,88,75,81,
265,audio_e0394a66-65e0-4db8-9bda-864db82774e7,75,59,53,
266,audio_a47872c4-9b7f-44ea-80b3-95a9a96078f3,80,62,65,
267,audio_cc040067-152c-44a2-9e8b-092c2487e8e6,76,57,74,
268,audio_4013fcb7-f033-4541-a706-2f5006b5dca8,62,2224,66,
269,audio_05be65c6-2f52-4aae-acca-8bbab77b5c9d,75,58,66,
270,audio_4d3cf2d1-7c5a-4a5e-affe-9fdcb23a1537,80,63,70,
271,audio_4090c6c4-f684-44b2-8b50-b047554dceb0,86,76,78,
272,audio_18c701f0-fde4-4d6e-8919-1927910c7c99,67,50,58,
273,audio_1adeb71f-005e-425d-bb8a-d916219e79d2,82,61,76,
274,audio_76c1c59f-6149-48c0-8b9e-3def7e014a7e,44,19,45,
275,audio_a9e848d3-910d-43d2-8d67-2dbb053d9801,20,10,23,
276,audio_3f1b193e-c25d-478d-a1cc-c804ebeb8c8f,84,69,66,
277,audio_a71a6d76-f46b-4029-990c-7c35cc37f12b,75,61,62,
279,audio_c35da3e1-8798-46c9-81fd-1e8f06fbb96a,81,70,73,
280,audio_afc0af2f-a7bd-4e56-b4cb-cebd5bc0d38f,57,35,55,
281,audio_15ac21bd-aee9-4c66-b847-26ecc886cb32,49,29,48,
282,audio_aa09af22-c591-4535-b602-2866705cdaf9,37,19,37,
283,audio_bf4c1e42-b011-4007-b8d6-e4ca521c36f0,26,13,32,
284,audio_275173c8-53ca-4127-a9aa-9b01d6019ce2,81,67,69,
285,audio_62e70007-ecf8-4694-862f-f2ac2799f328,55,32,54,
286,audio_41beed4d-0d33-48ab-9d4b-38085179db0b,71,54,62,
287,audio_48d72efe-cfd3-4fc4-9a46-8a779ae1677e,51,32,43,
288,audio_3e447a03-d9fa-42aa-b419-8fef497f9131,26,14,22,
289,audio_66341e4a-45b5-4f76-a79a-694929735e9a,57,36,57,
290,audio_16bb189d-608c-405b-95a7-7ce7353c97b2,69,46,57,
291,audio_49cde193-5b3b-4147-a913-93cd32034468,57,48,66,
292,audio_997b1fbd-dcce-4e1e-aa19-c7b63f1783d2,41,22,42,
293,audio_8efbd342-29fc-4a29-8567-ffb835d9ec58,51,32,48,
294,audio_1f62b8c1-7b69-4083-82fb-a7df2cbeca52,81,67,64,
295,audio_175975b9-c76c-48ae-9548-434fea3c9e71,67,47,64,
296,audio_a2a23e19-59dc-4b51-a5e6-d77ad6b66dd1,63,47,53,
297,audio_ab5a1a8b-0c58-4679-94cd-8f7eb89286da,59,37,51,
298,audio_a6df72a2-73e6-4aac-aa02-3614087e3e42,14,10,27,
299,audio_2bc06b73-df74-471b-91d3-564002d292fb,81,63,72,
300,audio_a5268e53-b275-4806-9046-3a167c698acc,81,70,72,
301,audio_d8fb4c8d-f26b-424c-86e1-e120b388c53a,81,70,73,
302,audio_5a0584e6-6554-40cc-bedf-bca251c9fa6c,84,67,80,
303,audio_af78a3e5-a757-46b4-b7c3-9701f50a1dc8,61,45,58,
304,audio_5c04abfb-faf8-444e-9a1a-f8b24ff5864a,80,56,65,
305,audio_6f2d374f-eafc-4a4a-b53a-f60759bac9c1,81,68,73,
306,audio_598ddc2b-a4f5-47bb-8b42-da65423e5ded,10,10,22,
307,audio_35daccf3-4c4d-41f5-84ce-e55766491ce3,79,63,68,
308,audio_eebdeb28-4e78-45db-b8b9-a28683cea5b7,79,64,73,
310,audio_f96af918-d14c-4daf-be7c-5c3cb9aa5dd4,68,49,63,
311,audio_f6fe4af4-ae14-4792-8b33-41bc2265d0bf,46,25,41,
312,audio_ee7ded08-8a66-4f35-a8da-5a4987e0cd84,50,28,43,
313,audio_e9607ed0-06df-4e2f-8cdf-b5920ec479c7,21,10,18,
314,audio_e0357e88-60e5-4bc7-b1cb-73609e7f4223,52,21,54,
315,audio_c21159f2-5874-4020-8467-be3071bda1a8,68,44,57,
316,audio_be8116c9-144b-4f2d-85de-dce2156fce59,26,10,30,
317,audio_bcbdc733-b140-4ac2-b1f3-afb0a6033c97,63,42,44,
318,audio_af906812-009a-493c-bbe7-bf3b3335e163,30,13,25,
319,audio_a0c1338d-78d2-44e6-a9e5-11ffd39f1ff0,60,36,63,
320,audio_11966330-a367-4590-b36e-b5b9214975b9,43,19,28,
321,audio_72997cd9-a3a4-437e-bfa9-7db4fb58913a,10,10,10,
322,audio_33009aab-7cac-4ac2-b7d9-7a267f7cac1a,29,10,21,
323,audio_445b9740-81cf-4ca9-b613-5382d9d37878,72,52,60,
324,audio_87ba36c6-ff5b-4cdd-859f-3db268beca40,26,14,32,
325,audio_57bead23-8fcb-4dff-87a0-60dee0d68fea,70,46,55,
326,audio_51a2a9d4-819f-40fd-b1cc-d8168d5b5a77,76,79,80,
327,audio_45eb4833-72e9-4895-ae6b-72e3a864cec7,32,13,10,
328,audio_29c959aa-10c5-4a79-b0fb-edb65ac0ad76,86,68,77,
329,audio_24b8cb70-45b4-439d-b5b7-7062c75a742e,86,68,77,
330,audio_9ebb6648-68f2-4eab-a21a-c5034d4c83d7,30,16,32,
331,audio_8f82b4a6-9bd3-41b4-8a95-8c6c9c7e9af7,81,69,64,
332,audio_8f0cf1c2-166e-4415-88c9-f5472e7a1e3c,81,65,64,
333,audio_8aba0ea6-1c93-4489-bf37-84b943446734,72,58,60,
334,audio_7faf6efe-51d7-4831-92a0-e99efe0b40e6,68,49,60,
335,audio_7a0d3ffb-7501-4b75-b5e7-5412a8e6bc7e,28,10,23,
336,audio_6bdf7b2e-c667-436f-9cc6-4e786e705154,38,12,46,
337,audio_2d41829b-a463-4562-81e8-e3e08eec5dc9,79,63,67,
338,audio_01b2d104-73db-4550-aac8-02218a52f134,79,63,67,
339,audio_0a2fb866-25a3-42e0-b672-a02f6b8ddd1a,72,56,61,
341,audio_8f3d6c45-fd38-4dc0-b83d-4952f0fe060f,56,37,40,
342,audio_4c331d6c-2766-40da-af0e-ba73d5ab0416,67,44,64,
343,audio_d0177839-688f-43da-86f5-57bc452bac29,44,22,40,
344,audio_e922b205-14d9-4d66-a76a-581f44695927,54,34,54,
345,audio_3ff2d9eb-7ea9-4826-9454-1958b71f3dc5,57,35,57,
346,audio_7f1800eb-c9c1-4ade-9f8d-0f3dcb7fbcb2,23,12,28,
347,audio_8aa77324-98c4-4344-878f-123ff2aa1469,31,16,32,
348,audio_f5833ef5-9797-422e-a266-d94db2375968,18,11,18,
349,audio_b58c570a-613a-45d8-a548-67e0c5564b5a,46,27,43,
350,audio_dcc3d1ba-8723-42a8-8b37-7c8d68dabd38,71,52,66,
351,audio_d3b98934-44ba-4366-9f2d-1dbda6f212ba,53,30,59,
352,audio_c317ee02-867f-4844-9b85-781fb8e2304d,82,59,81,
353,audio_9230b3f7-3590-4cdd-80d2-6dc0eb99d379,72,54,71,
354,audio_661622a7-b4f6-4e4a-8ac0-4eca97338441,78,65,81,
355,audio_692b084a-7c1f-40bc-84a6-a719d6830e92,78,65,81,
356,audio_caf0bc86-8086-4f9e-9b3c-9f057ee99afd,72,55,66,
357,audio_f6b70df6-bca8-4969-899b-0a38a8016b12,31,16,42,
358,audio_19bcaeda-d7f9-4763-bb71-5fca90e8bafa,18,10,23,
359,audio_2576f410-afb9-48db-bc96-99f53c708430,23,13,33,
360,audio_3ba3c085-2118-440c-8cae-cf51758dad04,73,52,63,
361,audio_b73f5515-42ff-442b-9728-f6200ff0e31e,49,20,60,
362,audio_edee036e-7eba-4939-80d4-74238c363351,84,62,80,
363,audio_b1de8374-491f-4b07-bbd2-95a988041b0c,78,62,73,
364,audio_91f113e3-af65-49ca-815d-ab57db8f3692,57,35,58,
365,audio_3be263a1-e4ef-4d7a-a7d7-ff895862e2ca,69,48,67,
366,audio_3b7fa9a6-b190-41f1-8ef3-76df3a3a93f5,42,24,44,
367,audio_57a2c1cc-61ce-44da-8051-71e2445f6ed5,21,10,40,
368,audio_911441a2-a452-490d-be44-3e90e6576f6e,76,58,72,
369,audio_171b51c4-6e4e-4024-ac61-3ae77f5b0617,55,35,60,
370,audio_a41b0b24-95c9-4ad0-af90-c2a325e74ee1,88,78,81,
372,audio_19c45321-2fe5-4b22-839c-b058308bae86,25,10,35,
373,audio_1d62ecd5-34fd-4327-a17b-798322515bf0,90,80,80,
374,audio_cab948e0-0c9b-452e-a190-2444eee23193,24,13,28,
375,audio_73fbe3a9-a5c7-4c34-810a-29235e642d6f,28,14,36,
